Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0528856	05	28856	"REDUC CAMP H.N C/R C-40 4""X2"""	VAPOR		CU	0	6804	FACENIL	"Válvula de Bola marca Apollo/Conbraco, Serie 94A, Conexión de 1/4"" NPT, cuerpo en Bronce, Presión máxima de operación en vapor de 150 psig, se puede utilizar en vacío hasta 29 inHg. Asientos en RPTFE. UL listed"
0528858	05	28858	"REDUC INOX T-CLAMP SANIT 2""X1-1/2"""	VAPOR		CU	0	2670	CENTRAL DE VALVULAS	
0528859	05	28859	"FERRULA INOX T-CLAMP SANIT SOLD 1-1/2"""	VAPOR		CU	0	1645	TECNOVAL	
0528860	05	28860	"GAZA INOX T-CLAMP SANIT 1-1/2"""	VAPOR		CU	0	2630	CENTRAL DE VALVULAS	
0528862	05	28862	"NIPLE INOX C-40 1/2"" X 6"""	VAPOR		CU	3	1285	CENTRAL DE VALVULAS	
0528863	05	28863	"FERRULA INOX T-CLAMP SANIT SOLD 2"""	VAPOR		CU	0	1790	TECNOVAL	
0528864	05	28864	"REDUC INOX C-40 SOLD 1""X3/4"""	VAPOR		CU	0	1755	TECNOVAL	
0528865	05	28865	"GAZA INOX T-CLAMP SANIT 2"""	VAPOR		CU	0	3996	TECNOVAL	
0528868	05	28868	REDUC H.N SOLD C-40 1-1/2 X 1/2	VAPOR		CU	0	630	TECNOVAL	
0528869	05	28869	REDUC H.N C/R 150# 1-1/2 X 1/2	VAPOR		CU	0	810	TECNOVAL	
0528870	05	28870	"ANGULAR AC/INOX 1/8"" X 1"""	VAPOR		CU	0	21945	ACEROS ESPECIALES	
0528871	05	28871	LAMINA AC/INOX 1/8 X 1.22 X 2.44	VAPOR		LAM	0	123345	ACEROS ESPECIALES	
0528873	05	28873	"UNION PVC T/ROSCA SCH80 2"""	VAPOR		CU	1	4590	ASAHI	
0528882	05	28882	TRANSP MATERIAL A CLIENTE	VAPOR		CU	0	10480	DURMAN ESQUIVEL	
0528883	05	28883	"EMP NEOPRENO P/BRIDA 8"""	VAPOR		CU	0	2815	MAREVE	
0528884	05	28884	REDUC CAMP ROSC H.N C-150 3/4-1/2	VAPOR		CU	0	315	TUBOCOBRE	
0528886	05	28886	VALV ELIMINADORA AIRE 1/2 MINI	VAPOR		CU	0	94340	ALROTEK	
0528887	05	28887	"VALV ELIMINADORA AIRE 1"" MINI"	VAPOR		CU	0	128225	ALROTEK	
0528888	05	28888	"CHECK VERTICAL FLOMATIC 3"" NPT"	VAPOR		CU	0	128225	ALROTEK	
0528889	05	28889	"CHECK PASCON BR 3"" HELBERT"	VAPOR		CU	0	81690	TUBOCOBRE	
0528890	05	28890	"TUBO H.N S/COSTURA C-80 2"""	VAPOR		CU	0	52936	TUBOCOBRE	
